Image_ID,Scene_Type,Objects_Detected,Bounding_Boxes,Confidence
IMG_096,Fire Scene,fire,1 fire region,0.85
IMG_097,Fire Scene,fire,1 fire region,0.94
IMG_098,Fire Scene,fire,1 fire region,0.87
IMG_099,Fire Scene,fire,1 fire region,0.9
IMG_100,Fire Scene,fire,1 fire region,0.82
IMG_101,Fire Scene,fire,1 fire region,0.88
IMG_102,Fire Scene,fire,1 fire region,0.91
IMG_103,Fire Scene,fire,1 fire region,0.88
IMG_104,Fire Scene,fire,1 fire region,0.83
IMG_105,Fire Scene,fire,1 fire region,0.93
IMG_106,Fire Scene,fire,1 fire region,0.9
IMG_107,Fire Scene,fire,1 fire region,0.85
IMG_108,Fire Scene,fire,1 fire region,0.92
IMG_109,Fire Scene,fire,1 fire region,0.94
IMG_110,Fire Scene,fire,1 fire region,0.85
IMG_111,Fire Scene,fire,1 fire region,0.9
IMG_112,Fire Scene,fire,1 fire region,0.84
IMG_113,Fire Scene,fire,1 fire region,0.94
IMG_114,Fire Scene,fire,1 fire region,0.9
IMG_115,Fire Scene,fire,1 fire region,0.78
IMG_116,Fire Scene,fire,1 fire region,0.85
IMG_117,Fire Scene,fire,1 fire region,0.87
IMG_118,Fire Scene,fire,1 fire region,0.9
IMG_119,Fire Scene,fire,1 fire region,0.89
IMG_120,Fire Scene,fire,1 fire region,0.89
IMG_121,Fire Scene,fire,1 fire region,0.86
IMG_122,Fire Scene,fire,2 fire regions,0.89
IMG_123,Fire Scene,fire,1 fire region,0.92
IMG_124,Fire Scene,fire,1 fire region,0.87
IMG_125,Fire Scene,fire,1 fire region,0.89
IMG_126,Fire Scene,fire,1 fire region,0.88
IMG_127,Fire Scene,fire,1 fire region,0.83
IMG_128,Fire Scene,fire,1 fire region,0.8
IMG_129,Fire Scene,fire,1 fire region,0.87
IMG_130,Fire Scene,fire,1 fire region,0.88
IMG_131,Fire Scene,fire,1 fire region,0.91
IMG_132,Fire Scene,fire,1 fire region,0.89
IMG_133,Fire Scene,fire,1 fire region,0.88
IMG_134,Fire Scene,fire,1 fire region,0.84
IMG_135,Fire Scene,fire,1 fire region,0.89
IMG_136,Fire Scene,fire,1 fire region,0.93
IMG_137,General Incident,None,None,0.0
IMG_138,Fire Scene,fire,1 fire region,0.88
IMG_139,Fire Scene,fire,1 fire region,0.86
IMG_140,Fire Scene,fire,1 fire region,0.87
IMG_141,Fire Scene,fire,1 fire region,0.91
IMG_142,Fire Scene,fire,1 fire region,0.84
IMG_143,Fire Scene,fire,1 fire region,0.45
IMG_144,Fire Scene,fire,1 fire region,0.92
IMG_145,Fire Scene,fire,1 fire region,0.81
IMG_146,Fire Scene,fire,1 fire region,0.89
IMG_147,Fire Scene,fire,1 fire region,0.89
IMG_148,Fire Scene,fire,1 fire region,0.91
IMG_149,Fire Scene,fire,1 fire region,0.87
IMG_150,Fire Scene,fire,1 fire region,0.88
IMG_151,Fire Scene,fire,1 fire region,0.93
IMG_152,Fire Scene,fire,1 fire region,0.92
IMG_153,Fire Scene,fire,1 fire region,0.91
IMG_154,Fire Scene,fire,1 fire region,0.9
IMG_155,Fire Scene,fire,1 fire region,0.91
IMG_156,Fire Scene,fire,1 fire region,0.86
IMG_157,Fire Scene,fire,1 fire region,0.85
IMG_158,Fire Scene,fire,1 fire region,0.9
IMG_159,Fire Scene,fire,1 fire region,0.87
IMG_160,Fire Scene,fire,1 fire region,0.87
IMG_161,Fire Scene,fire,1 fire region,0.9
IMG_162,Fire Scene,fire,1 fire region,0.81
IMG_163,Fire Scene,fire,1 fire region,0.9
IMG_164,Fire Scene,fire,1 fire region,0.78
IMG_165,Fire Scene,fire,1 fire region,0.91
IMG_166,Fire Scene,fire,1 fire region,0.88
IMG_167,Fire Scene,fire,1 fire region,0.89
IMG_168,Fire Scene,fire,1 fire region,0.89
IMG_169,Fire Scene,fire,1 fire region,0.89
IMG_170,Fire Scene,fire,1 fire region,0.89
IMG_171,Fire Scene,fire,1 fire region,0.87
IMG_172,Fire Scene,fire,1 fire region,0.91
IMG_173,Fire Scene,fire,1 fire region,0.91
IMG_174,Fire Scene,fire,2 fire regions,0.85
IMG_175,Fire Scene,fire,1 fire region,0.82
IMG_176,Fire Scene,fire,1 fire region,0.85
IMG_177,Fire Scene,fire,1 fire region,0.92
IMG_178,Fire Scene,fire,1 fire region,0.87
IMG_179,Fire Scene,fire,1 fire region,0.92
IMG_180,Fire Scene,fire,2 fire regions,0.82
IMG_181,Fire Scene,fire,1 fire region,0.88
IMG_182,Fire Scene,fire,1 fire region,0.74
IMG_183,Fire Scene,fire,1 fire region,0.89
IMG_184,Fire Scene,fire,1 fire region,0.89
IMG_185,Fire Scene,fire,1 fire region,0.85
IMG_186,Fire Scene,fire,1 fire region,0.89
IMG_187,Fire Scene,fire,1 fire region,0.93
IMG_188,Fire Scene,fire,1 fire region,0.92
IMG_189,Fire Scene,fire,1 fire region,0.67
IMG_190,Fire Scene,fire,1 fire region,0.88
IMG_191,Fire Scene,fire,1 fire region,0.8
IMG_192,Fire Scene,fire,1 fire region,0.92
IMG_193,Fire Scene,fire,1 fire region,0.88
IMG_194,Fire Scene,fire,1 fire region,0.91
IMG_195,Fire Scene,fire,1 fire region,0.91
IMG_196,Fire Scene,fire,1 fire region,0.89
IMG_197,Fire Scene,fire,1 fire region,0.93
IMG_198,Fire Scene,fire,1 fire region,0.92
IMG_199,Fire Scene,fire,1 fire region,0.86
IMG_200,Fire Scene,fire,1 fire region,0.83
IMG_201,Fire Scene,fire,1 fire region,0.86
IMG_202,Fire Scene,fire,1 fire region,0.8
IMG_203,Fire Scene,fire,1 fire region,0.84
IMG_204,Fire Scene,fire,1 fire region,0.9
IMG_205,Fire Scene,fire,1 fire region,0.92
IMG_206,Fire Scene,fire,1 fire region,0.88
IMG_207,Fire Scene,fire,1 fire region,0.86
IMG_208,Fire Scene,fire,1 fire region,0.9
IMG_209,Fire Scene,fire,1 fire region,0.92
IMG_210,Fire Scene,fire,1 fire region,0.9
IMG_211,Fire Scene,fire,1 fire region,0.9
IMG_212,Fire Scene,fire,1 fire region,0.91
IMG_213,Fire Scene,fire,1 fire region,0.92
IMG_214,Fire Scene,fire,1 fire region,0.91
IMG_215,Fire Scene,fire,1 fire region,0.89
IMG_216,Fire Scene,fire,1 fire region,0.88
IMG_217,Fire Scene,fire,1 fire region,0.91
IMG_218,Fire Scene,fire,1 fire region,0.86
IMG_219,Fire Scene,fire,1 fire region,0.87
IMG_220,Fire Scene,fire,1 fire region,0.85
IMG_221,Fire Scene,fire,1 fire region,0.83
IMG_222,Fire Scene,fire,1 fire region,0.9
IMG_223,Fire Scene,fire,1 fire region,0.84
IMG_224,Fire Scene,fire,1 fire region,0.92
IMG_225,Fire Scene,fire,1 fire region,0.87
IMG_226,Fire Scene,fire,1 fire region,0.89
IMG_227,Fire Scene,fire,1 fire region,0.84
IMG_228,Fire Scene,fire,1 fire region,0.9
IMG_229,Fire Scene,fire,1 fire region,0.88
IMG_230,Fire Scene,fire,1 fire region,0.87
IMG_231,Fire Scene,fire,1 fire region,0.92
IMG_232,Fire Scene,fire,1 fire region,0.85
IMG_233,Fire Scene,fire,1 fire region,0.92
IMG_234,Fire Scene,fire,1 fire region,0.84
IMG_235,Fire Scene,fire,1 fire region,0.88
IMG_236,Fire Scene,fire,1 fire region,0.87
IMG_237,Fire Scene,fire,1 fire region,0.9
IMG_238,Fire Scene,fire,1 fire region,0.86
IMG_239,Fire Scene,fire,1 fire region,0.88
IMG_240,Fire Scene,smoke,1 smoke plume,0.84
IMG_241,Fire Scene,fire,1 fire region,0.91
IMG_242,Fire Scene,fire,1 fire region,0.9
IMG_243,Fire Scene,fire,1 fire region,0.88
IMG_244,Fire Scene,fire,1 fire region,0.88
IMG_245,Fire Scene,fire,1 fire region,0.88
IMG_246,Fire Scene,fire,1 fire region,0.86
IMG_247,Fire Scene,fire,1 fire region,0.85
IMG_248,Fire Scene,fire,1 fire region,0.89
IMG_249,Fire Scene,fire,1 fire region,0.86
IMG_250,Fire Scene,fire,1 fire region,0.86
IMG_251,Fire Scene,fire,1 fire region,0.93
IMG_252,Fire Scene,fire,1 fire region,0.9
IMG_253,Fire Scene,fire,1 fire region,0.88
IMG_254,Fire Scene,fire,1 fire region,0.91
IMG_255,Fire Scene,fire,1 fire region,0.87
IMG_256,Fire Scene,fire,1 fire region,0.9
IMG_257,Fire Scene,fire,1 fire region,0.87
IMG_258,Fire Scene,fire,1 fire region,0.89
IMG_259,Fire Scene,fire,1 fire region,0.89
IMG_260,Fire Scene,fire,1 fire region,0.83
IMG_261,Fire Scene,fire,1 fire region,0.9
IMG_262,Fire Scene,fire,1 fire region,0.91
IMG_263,Fire Scene,fire,1 fire region,0.89
IMG_264,Fire Scene,fire,1 fire region,0.9
IMG_265,Fire Scene,fire,1 fire region,0.9
IMG_266,Fire Scene,fire,1 fire region,0.87
IMG_267,Fire Scene,fire,1 fire region,0.89
IMG_268,Fire Scene,fire,1 fire region,0.83
IMG_269,Fire Scene,fire,1 fire region,0.82
IMG_270,Fire Scene,fire,1 fire region,0.89
IMG_271,Fire Scene,fire,1 fire region,0.87
IMG_272,Fire Scene,fire,1 fire region,0.86
IMG_273,General Incident,light,1 light,0.95
IMG_274,General Incident,light,1 light,0.92
IMG_275,General Incident,light,1 light,0.92
IMG_276,General Incident,light,1 light,0.86
IMG_277,General Incident,light,1 light,0.93
IMG_278,General Incident,light,1 light,0.88
IMG_279,General Incident,light,1 light,0.81
IMG_280,General Incident,light,1 light,0.93
IMG_281,General Incident,light,1 light,0.91
IMG_282,General Incident,light,1 light,0.9
IMG_283,General Incident,light,1 light,0.86
IMG_284,General Incident,light,1 light,0.88
IMG_285,General Incident,light,1 light,0.87
IMG_286,General Incident,light,1 light,0.91
IMG_287,General Incident,light,1 light,0.86
IMG_288,General Incident,light,1 light,0.9
IMG_289,General Incident,light,1 light,0.93
IMG_290,General Incident,light,1 light,0.93
IMG_291,General Incident,light,1 light,0.94
IMG_292,General Incident,light,1 light,0.88
IMG_293,General Incident,light,1 light,0.93
IMG_294,General Incident,light,1 light,0.88
IMG_295,General Incident,light,1 light,0.94
IMG_296,General Incident,light,1 light,0.89
IMG_297,General Incident,light,1 light,0.92
IMG_298,General Incident,light,1 light,0.91
IMG_299,General Incident,light,1 light,0.93
IMG_300,General Incident,light,1 light,0.89
IMG_301,General Incident,light,1 light,0.91
IMG_302,General Incident,light,1 light,0.88
IMG_303,General Incident,light,1 light,0.91
IMG_304,General Incident,light,2 lights,0.89
IMG_305,General Incident,light,1 light,0.91
IMG_306,General Incident,light,1 light,0.93
IMG_307,General Incident,light,1 light,0.92
IMG_308,General Incident,light,1 light,0.9
IMG_309,General Incident,light,1 light,0.93
IMG_310,General Incident,light,1 light,0.95
IMG_311,General Incident,light,1 light,0.93
IMG_312,General Incident,light,1 light,0.87
IMG_313,General Incident,light,1 light,0.88
IMG_314,General Incident,light,1 light,0.91
IMG_315,General Incident,light,1 light,0.83
IMG_316,General Incident,light,1 light,0.94
IMG_317,General Incident,light,1 light,0.93
IMG_318,General Incident,light,1 light,0.92
IMG_319,General Incident,light,1 light,0.86
IMG_320,General Incident,light,1 light,0.92
IMG_321,General Incident,light,1 light,0.9
IMG_322,General Incident,light,1 light,0.92
IMG_323,General Incident,light,1 light,0.94
IMG_324,General Incident,light,1 light,0.91
IMG_325,General Incident,light,1 light,0.64
IMG_326,General Incident,light,1 light,0.58
IMG_327,General Incident,light,1 light,0.85
IMG_328,General Incident,light,1 light,0.82
IMG_329,General Incident,light,1 light,0.68
IMG_330,General Incident,light,1 light,0.75
IMG_331,General Incident,light,1 light,0.7
IMG_332,General Incident,light,1 light,0.65
IMG_333,General Incident,light,1 light,0.76
IMG_334,General Incident,light,1 light,0.78
IMG_335,General Incident,light,1 light,0.84
IMG_336,General Incident,light,1 light,0.82
IMG_337,General Incident,light,1 light,0.78
IMG_338,General Incident,light,1 light,0.82
IMG_339,General Incident,light,1 light,0.76
IMG_340,General Incident,light,1 light,0.79
IMG_341,General Incident,light,1 light,0.82
IMG_342,General Incident,light,1 light,0.82
IMG_343,General Incident,light,1 light,0.89
IMG_344,General Incident,light,1 light,0.81
IMG_345,General Incident,light,1 light,0.87
IMG_346,General Incident,light,1 light,0.93
IMG_347,General Incident,light,1 light,0.96
IMG_348,General Incident,light,1 light,0.91
IMG_349,General Incident,light,1 light,0.84
IMG_350,General Incident,light,1 light,0.93
IMG_351,General Incident,light,1 light,0.89
IMG_352,General Incident,light,1 light,0.94
IMG_353,General Incident,light,1 light,0.92
IMG_354,General Incident,light,1 light,0.92
IMG_355,General Incident,light,1 light,0.93
IMG_356,General Incident,light,1 light,0.9
IMG_357,General Incident,light,1 light,0.94
IMG_358,General Incident,light,1 light,0.9
IMG_359,General Incident,light,1 light,0.9
IMG_360,General Incident,light,1 light,0.86
IMG_361,General Incident,light,1 light,0.91
IMG_362,General Incident,light,1 light,0.89
IMG_363,General Incident,light,1 light,0.91
IMG_364,General Incident,light,1 light,0.87
IMG_365,General Incident,light,1 light,0.92
IMG_366,General Incident,light,1 light,0.92
IMG_367,General Incident,light,1 light,0.94
IMG_368,General Incident,light,1 light,0.91
IMG_369,General Incident,light,2 lights,0.85
IMG_370,General Incident,light,1 light,0.92
IMG_371,General Incident,light,1 light,0.91
IMG_372,General Incident,light,1 light,0.89
IMG_373,General Incident,light,1 light,0.87
IMG_374,General Incident,light,1 light,0.82
IMG_375,General Incident,light,1 light,0.9
IMG_376,General Incident,light,1 light,0.78
IMG_377,General Incident,light,1 light,0.93
IMG_378,General Incident,light,1 light,0.91
IMG_379,General Incident,light,1 light,0.88
IMG_380,General Incident,light,1 light,0.85
IMG_381,General Incident,light,1 light,0.84
IMG_382,General Incident,light,2 lights,0.76
IMG_383,General Incident,light,2 lights,0.79
IMG_384,General Incident,light,2 lights,0.78
IMG_385,General Incident,light,1 light,0.81
IMG_386,General Incident,light,1 light,0.82
IMG_387,General Incident,light,1 light,0.81
IMG_388,General Incident,light,1 light,0.81
IMG_389,General Incident,light,1 light,0.79
IMG_390,General Incident,light,1 light,0.79
IMG_391,General Incident,light,1 light,0.78
IMG_392,General Incident,light,1 light,0.81
IMG_393,General Incident,light,1 light,0.8
IMG_394,General Incident,light,1 light,0.79
IMG_395,General Incident,light,1 light,0.78
IMG_396,General Incident,light,1 light,0.8
IMG_397,General Incident,light,1 light,0.8
IMG_398,General Incident,light,1 light,0.78
IMG_399,General Incident,light,1 light,0.77
IMG_400,General Incident,light,1 light,0.77
IMG_401,General Incident,light,1 light,0.82
IMG_402,General Incident,light,1 light,0.81
IMG_403,General Incident,light,1 light,0.82
IMG_404,General Incident,light,1 light,0.8
IMG_405,General Incident,light,1 light,0.8
IMG_406,General Incident,light,1 light,0.77
IMG_407,General Incident,light,1 light,0.8
IMG_408,General Incident,light,1 light,0.79
IMG_409,General Incident,light,1 light,0.78
IMG_410,General Incident,light,1 light,0.77
IMG_411,General Incident,light,1 light,0.83
IMG_412,General Incident,light,1 light,0.77
IMG_413,General Incident,light,1 light,0.8
IMG_414,General Incident,light,1 light,0.8
IMG_415,General Incident,light,1 light,0.84
IMG_416,General Incident,light,1 light,0.85
IMG_417,General Incident,light,1 light,0.83
IMG_418,General Incident,light,1 light,0.85
IMG_419,General Incident,light,1 light,0.8
IMG_420,General Incident,light,1 light,0.88
IMG_421,General Incident,light,1 light,0.86
IMG_422,General Incident,light,1 light,0.88
IMG_423,General Incident,light,1 light,0.88
IMG_424,General Incident,light,1 light,0.88
IMG_425,General Incident,light,1 light,0.88
IMG_426,General Incident,light,1 light,0.88
IMG_427,General Incident,light,1 light,0.88
IMG_428,General Incident,light,1 light,0.87
IMG_429,General Incident,light,1 light,0.89
IMG_430,General Incident,light,1 light,0.88
IMG_431,General Incident,light,1 light,0.89
IMG_432,General Incident,light,1 light,0.88
IMG_433,General Incident,light,1 light,0.81
IMG_434,General Incident,light,1 light,0.81
IMG_435,General Incident,light,1 light,0.81
IMG_436,General Incident,light,1 light,0.83
IMG_437,General Incident,light,1 light,0.86
IMG_438,General Incident,light,1 light,0.77
IMG_439,General Incident,light,1 light,0.77
IMG_440,General Incident,light,1 light,0.78
IMG_441,General Incident,light,1 light,0.81
IMG_442,General Incident,light,1 light,0.83
IMG_443,General Incident,light,1 light,0.85
IMG_444,General Incident,light,1 light,0.8
IMG_445,General Incident,light,1 light,0.74
IMG_446,General Incident,light,1 light,0.72
IMG_447,General Incident,light,1 light,0.71
IMG_448,General Incident,light,1 light,0.73
IMG_449,General Incident,light,1 light,0.64
IMG_450,General Incident,light,1 light,0.8
IMG_451,General Incident,light,1 light,0.79
IMG_452,General Incident,light,1 light,0.8
IMG_453,General Incident,light,1 light,0.77
IMG_454,General Incident,light,1 light,0.73
IMG_455,General Incident,light,1 light,0.75
IMG_456,General Incident,light,1 light,0.83
IMG_457,General Incident,light,1 light,0.85
IMG_458,General Incident,light,1 light,0.86
IMG_459,General Incident,light,1 light,0.85
IMG_460,General Incident,light,1 light,0.83
IMG_461,General Incident,light,1 light,0.81
IMG_462,General Incident,light,1 light,0.76
IMG_463,General Incident,light,1 light,0.77
IMG_464,General Incident,light,1 light,0.78
IMG_465,General Incident,light,1 light,0.76
IMG_466,General Incident,light,1 light,0.8
IMG_467,General Incident,light,1 light,0.84
IMG_468,General Incident,light,1 light,0.79
IMG_469,General Incident,light,1 light,0.76
IMG_470,General Incident,light,1 light,0.7
IMG_471,General Incident,light,1 light,0.85
IMG_472,General Incident,light,1 light,0.78
IMG_473,General Incident,light,1 light,0.77
IMG_474,General Incident,light,1 light,0.73
IMG_475,General Incident,light,1 light,0.71
IMG_476,General Incident,light,1 light,0.83
IMG_477,General Incident,light,1 light,0.81
IMG_478,General Incident,light,1 light,0.78
IMG_479,General Incident,light,1 light,0.72
IMG_480,General Incident,light,1 light,0.74
IMG_481,General Incident,light,1 light,0.7
IMG_482,General Incident,light,1 light,0.68
IMG_483,General Incident,light,1 light,0.7
IMG_484,General Incident,light,1 light,0.65
IMG_485,General Incident,light,1 light,0.84
IMG_486,General Incident,light,1 light,0.83
IMG_487,General Incident,light,1 light,0.84
IMG_488,General Incident,light,1 light,0.86
IMG_489,General Incident,light,1 light,0.85
IMG_490,General Incident,light,1 light,0.85
IMG_491,General Incident,light,1 light,0.86
IMG_492,General Incident,light,1 light,0.85
IMG_493,General Incident,light,1 light,0.83
IMG_494,General Incident,light,1 light,0.87
IMG_495,General Incident,light,1 light,0.84
IMG_496,General Incident,light,1 light,0.84
IMG_497,General Incident,light,1 light,0.83
IMG_498,General Incident,light,1 light,0.84
IMG_499,General Incident,light,1 light,0.81
IMG_500,General Incident,light,1 light,0.87
IMG_501,General Incident,light,1 light,0.87
IMG_502,General Incident,light,1 light,0.87
IMG_503,General Incident,light,1 light,0.87
IMG_504,General Incident,light,1 light,0.86
IMG_505,General Incident,light,1 light,0.87
IMG_506,General Incident,light,1 light,0.87
IMG_507,General Incident,light,1 light,0.86
IMG_508,General Incident,light,1 light,0.86
IMG_509,General Incident,light,1 light,0.86
IMG_510,General Incident,light,1 light,0.87
IMG_511,General Incident,light,1 light,0.89
IMG_512,General Incident,light,1 light,0.79
IMG_513,General Incident,light,1 light,0.77
IMG_514,General Incident,light,1 light,0.77
IMG_515,General Incident,light,1 light,0.78
IMG_516,General Incident,light,1 light,0.77
IMG_517,General Incident,light,2 lights,0.75
IMG_518,General Incident,light,2 lights,0.78
IMG_519,General Incident,light,2 lights,0.78
IMG_520,General Incident,light,1 light,0.86
IMG_521,General Incident,light,1 light,0.86
IMG_522,General Incident,light,1 light,0.9
IMG_523,General Incident,light,1 light,0.88
IMG_524,General Incident,light,1 light,0.9
IMG_525,General Incident,light,1 light,0.9
IMG_526,General Incident,light,1 light,0.9
IMG_527,General Incident,light,1 light,0.88
IMG_528,General Incident,light,1 light,0.77
IMG_529,General Incident,light,2 lights,0.57
IMG_530,General Incident,light,2 lights,0.74
IMG_531,General Incident,light,2 lights,0.65
IMG_532,General Incident,light,1 light,0.91
IMG_533,General Incident,light,1 light,0.91
IMG_534,General Incident,light,1 light,0.87
IMG_535,General Incident,light,1 light,0.89
IMG_536,General Incident,no-fire,1 no-fire,0.93
IMG_537,General Incident,no-fire,1 no-fire,0.89
IMG_538,General Incident,no-fire,1 no-fire,0.89
IMG_539,General Incident,no-fire,1 no-fire,0.91
IMG_540,General Incident,no-fire,1 no-fire,0.94
IMG_541,General Incident,no-fire,1 no-fire,0.91
IMG_542,General Incident,no-fire,1 no-fire,0.9
IMG_543,General Incident,no-fire,1 no-fire,0.89
IMG_544,General Incident,no-fire,1 no-fire,0.86
IMG_545,General Incident,no-fire,1 no-fire,0.91
IMG_546,General Incident,no-fire,1 no-fire,0.87
IMG_547,General Incident,no-fire,1 no-fire,0.93
IMG_548,General Incident,no-fire,1 no-fire,0.89
IMG_549,General Incident,no-fire,1 no-fire,0.9
IMG_550,General Incident,no-fire,1 no-fire,0.91
IMG_551,General Incident,no-fire,1 no-fire,0.82
IMG_552,General Incident,no-fire,1 no-fire,0.87
IMG_553,General Incident,no-fire,1 no-fire,0.92
IMG_554,General Incident,no-fire,1 no-fire,0.91
IMG_555,General Incident,no-fire,1 no-fire,0.9
IMG_556,General Incident,no-fire,1 no-fire,0.93
IMG_557,General Incident,no-fire,1 no-fire,0.87
IMG_558,General Incident,no-fire,1 no-fire,0.9
IMG_559,General Incident,no-fire,1 no-fire,0.9
IMG_560,General Incident,no-fire,1 no-fire,0.9
IMG_561,General Incident,no-fire,1 no-fire,0.91
IMG_562,General Incident,no-fire,1 no-fire,0.9
IMG_563,General Incident,no-fire,1 no-fire,0.86
IMG_564,General Incident,no-fire,1 no-fire,0.9
IMG_565,General Incident,no-fire,1 no-fire,0.92
IMG_566,General Incident,no-fire,1 no-fire,0.88
IMG_567,General Incident,no-fire,1 no-fire,0.87
IMG_568,General Incident,no-fire,1 no-fire,0.89
IMG_569,General Incident,no-fire,1 no-fire,0.91
IMG_570,General Incident,no-fire,1 no-fire,0.89
IMG_571,General Incident,no-fire,1 no-fire,0.86
IMG_572,General Incident,no-fire,1 no-fire,0.92
IMG_573,General Incident,no-fire,1 no-fire,0.92
IMG_574,General Incident,no-fire,1 no-fire,0.84
IMG_575,General Incident,no-fire,1 no-fire,0.87
IMG_576,General Incident,no-fire,1 no-fire,0.9
IMG_577,General Incident,no-fire,1 no-fire,0.9
IMG_578,General Incident,no-fire,1 no-fire,0.92
IMG_579,General Incident,no-fire,1 no-fire,0.88
IMG_580,General Incident,no-fire,1 no-fire,0.88
IMG_581,General Incident,no-fire,1 no-fire,0.88
IMG_582,General Incident,no-fire,1 no-fire,0.85
IMG_583,General Incident,no-fire,1 no-fire,0.89
IMG_584,General Incident,no-fire,1 no-fire,0.83
